delta_teacher,reward_misspec,t,k,error,optimal_k,post_optimum_degradation_pct,finite_optimum
0.0,1.5,2.0,8,0.8936691528520923,2,6.8554013432690075,True
0.0,1.5,2.0,16,0.9050513624709622,2,6.8554013432690075,True
0.0,1.5,2.0,32,0.9108440000910767,2,6.8554013432690075,True
0.0,1.5,2.0,64,0.9137529513761898,2,6.8554013432690075,True
0.0,1.5,2.0,128,0.9152093654198612,2,6.8554013432690075,True
0.0,1.5,2.0,256,0.9159379230398199,2,6.8554013432690075,True
0.0,1.5,3.0,1,0.9999999999517086,4,1.7254340239358346,True
0.0,1.5,3.0,2,0.8786791194062058,4,1.7254340239358346,True
0.0,1.5,3.0,4,0.8752113634165175,4,1.7254340239358346,True
0.0,1.5,3.0,8,0.8815450409507819,4,1.7254340239358346,True
0.0,1.5,3.0,16,0.8858278111049659,4,1.7254340239358346,True
0.0,1.5,3.0,32,0.888170449946392,4,1.7254340239358346,True
0.0,1.5,3.0,64,0.8893846564420647,4,1.7254340239358346,True
0.0,1.5,3.0,128,0.8900016693198933,4,1.7254340239358346,True
0.0,1.5,3.0,256,0.8903125580622587,4,1.7254340239358346,True
0.0,1.5,5.0,1,1.0000000000000038,64,0.0016967664591804876,False
0.0,1.5,5.0,2,0.9129764941984941,64,0.0016967664591804876,False
0.0,1.5,5.0,4,0.8989861002904527,64,0.0016967664591804876,False
0.0,1.5,5.0,8,0.8963946365487634,64,0.0016967664591804876,False
0.0,1.5,5.0,16,0.8958931731389189,64,0.0016967664591804876,False
0.0,1.5,5.0,32,0.8958116429036772,64,0.0016967664591804876,False
0.0,1.5,5.0,64,0.8958100052849526,64,0.0016967664591804876,False
0.0,1.5,5.0,128,0.8958185993476758,64,0.0016967664591804876,False
0.0,1.5,5.0,256,0.8958252050886601,64,0.0016967664591804876,False
0.0,1.5,8.0,1,1.0000000000000027,256,0.0,False
0.0,1.5,8.0,2,0.941121129495079,256,0.0,False
0.0,1.5,8.0,4,0.925903641527421,256,0.0,False
0.0,1.5,8.0,8,0.9206616575261998,256,0.0,False
0.0,1.5,8.0,16,0.9185212612607292,256,0.0,False
0.0,1.5,8.0,32,0.9175597217039783,256,0.0,False
0.0,1.5,8.0,64,0.9171048109815606,256,0.0,False
0.0,1.5,8.0,128,0.9168836647125883,256,0.0,False
0.0,1.5,8.0,256,0.9167746498428225,256,0.0,False
0.0,1.5,12.0,1,1.0000000000000024,256,0.0,False
0.0,1.5,12.0,2,0.9594685402323648,256,0.0,False
0.0,1.5,12.0,4,0.946262714018419,256,0.0,False
0.0,1.5,12.0,8,0.9409596117299678,256,0.0,False
0.0,1.5,12.0,16,0.9385887525240058,256,0.0,False
