delta_teacher,reward_shift,t,k,error,curve_monotone
0.2,0.0,1.0,2,0.6676621852645108,True
0.2,0.0,1.0,4,0.5704392527849454,True
0.2,0.0,1.0,8,0.5372769151475943,True
0.2,0.0,1.0,16,0.5230420024122877,True
0.2,0.0,1.0,32,0.5163848364199335,True
0.2,0.0,1.0,64,0.5131597944755026,True
0.2,0.0,1.0,128,0.5115719078273818,True
0.2,0.0,1.0,256,0.5107839767599727,True
0.2,0.0,3.0,1,1.039999999999984,True
0.2,0.0,3.0,2,0.8729072533571671,True
0.2,0.0,3.0,4,0.8174305029943184,True
0.2,0.0,3.0,8,0.793897210874793,True
0.2,0.0,3.0,16,0.7829553152544898,True
0.2,0.0,3.0,32,0.7776694498074714,True
0.2,0.0,3.0,64,0.7750704809062955,True
0.2,0.0,3.0,128,0.7737817168483213,True
0.2,0.0,3.0,256,0.7731399821302573,True
0.2,0.0,10.0,1,1.0400000000000025,True
0.2,0.0,10.0,2,0.9864246860862903,True
0.2,0.0,10.0,4,0.9633403711559195,True
0.2,0.0,10.0,8,0.9525282569677764,True
0.2,0.0,10.0,16,0.9472866656379234,True
0.2,0.0,10.0,32,0.944705015361658,True
0.2,0.0,10.0,64,0.943423745392756,True
0.2,0.0,10.0,128,0.942785471185268,True
0.2,0.0,10.0,256,0.9424669208266665,True
0.2,0.1,1.0,1,1.039997924443391,True
0.2,0.1,1.0,2,0.6770549238773251,True
0.2,0.1,1.0,4,0.5821205173171448,True
0.2,0.1,1.0,8,0.5494682919513324,True
0.2,0.1,1.0,16,0.5354051414427957,True
0.2,0.1,1.0,32,0.5288201306045679,True
0.2,0.1,1.0,64,0.5256283070536928,True
0.2,0.1,1.0,128,0.524056372985699,True
0.2,0.1,1.0,256,0.5232762606585837,True
0.2,0.1,3.0,1,1.039999999999996,True
0.2,0.1,3.0,2,0.878549167856741,True
0.2,0.1,3.0,4,0.8245436397850334,True
0.2,0.1,3.0,8,0.8015586923082266,True
0.2,0.1,3.0,16,0.7908578420421133,True
0.2,0.1,3.0,32,0.7856853949815849,True
0.2,0.1,3.0,64,0.7831414827674602,True
0.2,0.1,3.0,128,0.7818798481502914,True
0.2,0.1,3.0,256,0.7812515801351368,True
0.2,0.1,10.0,1,1.0400000000000025,True
0.2,0.1,10.0,2,0.9883879424147285,True
0.2,0.1,10.0,4,0.9660670087699927,True
0.2,0.1,10.0,8,0.9555970359135818,True
0.2,0.1,10.0,16,0.9505179256604842,True
0.2,0.1,10.0,32,0.9480155060780397,True
0.2,0.1,10.0,64,0.94677336490165,True
0.2,0.1,10.0,128,0.9461545353663062,True
0.2,0.1,10.0,256,0.9458456776476336,True
0.2,0.25,1.0,1,1.0399995298494102,True
0.2,0.25,1.0,2,0.696927051541598,True
0.2,0.25,1.0,4,0.6071504232413301,True
0.2,0.25,1.0,8,0.5762075582167137,True
0.2,0.25,1.0,16,0.5628695387824025,True
0.2,0.25,1.0,32,0.5566221482045708,True
0.2,0.25,1.0,64,0.553593564534693,True
0.2,0.25,1.0,128,0.5521019294123471,True
0.2,0.25,1.0,256,0.5513616446451646,True
0.2,0.25,3.0,1,1.0400000000000102,True
0.2,0.25,3.0,2,0.8877318139468239,True
0.2,0.25,3.0,4,0.8366996859147448,True
0.2,0.25,3.0,8,0.8149621714296769,True
0.2,0.25,3.0,16,0.8048387673820907,True
0.2,0.25,3.0,32,0.7999447198356736,True
0.2,0.25,3.0,64,0.7975375615208871,True
0.2,0.25,3.0,128,0.7963437081795335,True
0.2,0.25,3.0,256,0.7957491837945434,True
0.2,0.25,10.0,1,1.0400000000000025,True
0.2,0.25,10.0,2,0.9913605101759853,True
0.2,0.25,10.0,4,0.9703050619738548,True
0.2,0.25,10.0,8,0.960424958676077,True
0.2,0.25,10.0,16,0.955631184195753,True
0.2,0.25,10.0,32,0.9532691542139741,True
0.2,0.25,10.0,64,0.9520966524702897,True
0.2,0.25,10.0,128,0.9515125055282014,True
0.2,0.25,10.0,256,0.9512209550368191,True
0.2,0.5,1.0,1,1.0400022774315991,True
0.2,0.5,1.0,2,0.7443718813108648,True
0.2,0.5,1.0,4,0.6685735091064037,True
0.2,0.5,1.0,8,0.6431954509588059,True
0.2,0.5,1.0,16,0.632377942190242,True
0.2,0.5,1.0,32,0.62733213220392,True
0.2,0.5,1.0,64,0.624890510748702,True
0.2,0.5,1.0,128,0.6236890018097108,True
0.2,0.5,1.0,256,0.6230929539026073,True
0.2,0.5,3.0,1,1.0400000000000431,True
0.2,0.5,3.0,2,0.9048269691635099,True
0.2,0.5,3.0,4,0.8608720379009062,True
0.2,0.5,3.0,8,0.8423749167303064,True
0.2,0.5,3.0,16,0.8338016955311993,True
0.2,0.5,3.0,32,0.8296659909320367,True
0.2,0.5,3.0,64,0.8276339158441096,True
0.2,0.5,3.0,128,0.8266265945048012,True
0.2,0.5,3.0,256,0.8261250852755971,True
0.2,0.5,10.0,1,1.0400000000000025,True
0.2,0.5,10.0,2,0.9963838210142788,True
0.2,0.5,10.0,4,0.9777606244909296,True
0.2,0.5,10.0,8,0.9690693929776574,True
0.2,0.5,10.0,16,0.9648628629182644,True
0.2,0.5,10.0,32,0.9627926302507969,True
0.2,0.5,10.0,64,0.9617655685319209,True
0.2,0.5,10.0,128,0.9612540266964393,True
0.2,0.5,10.0,256,0.9609987500040741,True
0.5,0.0,1.0,1,1.249996493914213,True
0.5,0.0,1.0,2,0.7658323903644089,True
0.5,0.0,1.0,4,0.6375986984969098,True
0.5,0.0,1.0,8,0.5958738536221359,True
0.5,0.0,1.0,16,0.578367917046307,True
0.5,0.0,1.0,32,0.5702494011874286,True
0.5,0.0,1.0,64,0.5663307292526589,True
